Satellite Name,Mission Type,Launch Date,Instruments,Status
Terra,Earth Observation,1999-12-18,MODIS/CERES/MISR/MOPITT/ASTER,Active
Aqua,Earth Observation,2002-05-04,MODIS/AIRS/AMSR-E/CERES/HSB,Active
Landsat 8,Earth Observation,2013-02-11,OLI/TIRS,Active
ICESat-2,Cryosphere,2018-09-15,ATLAS,Active
Hubble Space Telescope,Astronomy,1990-04-24,WFC3/ACS/COS/STIS/NICMOS,Active
James Webb Space Telescope,Astronomy,2021-12-25,NIRCam/NIRSpec/MIRI/FGS-NIRISS,Active
SMAP,Soil Moisture,2015-01-31,SMAP Radiometer and Radar,Active
Aura,Atmospheric Chemistry,2004-07-15,OMI/HIRDLS/MLS/TES,Active
Landsat 9,Earth Observation,2021-09-27,OLI-2/TIRS-2,Active
Sentinel-6 Michael Freilich,Oceanography,2020-11-21,Poseidon-4/AMR-C/GNSS-RO,Active
