Sensor_id,Temperature,HPA_Divison,Sensor_Cycle,radio_cell_state,city
S-310,4603,24899,70,Red,Germany
S-306,2996,25350,72,Green ,Delhi
S-365,4458,25705,83,Yellow,Indo
S-354,3834,24967,91,Red,Denmark
S-310,2119,25168,83,Green ,London
S-326,4412,25314,68,Yellow,Dubai
S-375,4447,24615,88,Red,Germany
S-311,4856,25609,69,Green ,Delhi
S-311,4940,24812,83,Yellow,Indo
S-311,2932,24062,74,Red,Denmark
S-349,4050,25864,84,Green ,London
S-395,3906,24655,88,Yellow,Dubai
S-321,4059,25087,82,Red,Germany
S-392,2489,24837,92,Green ,Delhi
S-379,4608,25959,78,Yellow,Indo
S-388,4849,25583,76,Red,Denmark
S-319,3340,24240,66,Green ,London
S-323,3617,25416,77,Yellow,Dubai
S-399,2865,25370,93,Red,Germany
S-319,2254,24723,68,Green ,Delhi
S-363,4265,25456,76,Yellow,Indo
S-365,2802,25074,88,Red,Denmark
S-372,3983,24812,71,Green ,London
S-349,4468,24988,90,Yellow,Dubai
S-382,4823,24014,91,Red,Germany
S-355,4610,25023,74,Green ,Delhi
S-337,2453,24563,61,Yellow,Indo
S-379,2798,24546,98,Red,Denmark
S-354,4488,24153,65,Green ,London
S-396,3456,24732,86,Yellow,Dubai
S-340,2425,24423,94,Red,Germany
S-312,2177,24179,81,Green ,Delhi
S-380,2506,24064,79,Yellow,Indo
S-392,2064,24847,60,Red,Denmark
S-388,2101,24720,76,Green ,London
S-329,4069,24478,85,Yellow,Dubai
S-345,4367,24138,75,Red,Germany
S-379,3520,24123,85,Green ,Delhi
S-343,4466,24436,94,Yellow,Indo
S-394,4241,24966,81,Red,Denmark
S-351,2935,24744,81,Green ,London
S-336,2386,24239,88,Yellow,Dubai
S-366,2604,24338,88,Red,Germany
S-332,3772,24453,95,Green ,Delhi
S-311,2986,24534,98,Yellow,Indo
S-330,2344,24942,72,Red,Denmark
S-300,4131,25871,79,Green ,London
S-318,4304,24015,88,Yellow,Dubai
S-373,3046,25623,60,Red,Germany
S-309,4616,24420,73,Green ,Delhi
S-334,3726,24513,76,Yellow,Indo
S-328,2040,24675,76,Red,Denmark
S-341,2647,24062,66,Green ,London
S-382,3863,25006,82,Yellow,Dubai
S-336,3726,25595,70,Red,Germany
S-338,3702,24649,69,Green ,Delhi
S-348,2694,24024,94,Yellow,Indo
S-332,2175,24860,60,Red,Denmark
S-396,4415,24689,99,Green ,London
S-302,3263,24909,80,Yellow,Dubai
S-375,3348,24686,63,Red,Germany
S-301,2131,24642,99,Green ,Delhi
S-301,3148,24389,88,Yellow,Indo
S-340,2546,25844,87,Red,Denmark
S-372,2478,24119,64,Green ,London
S-369,4549,25628,65,Yellow,Dubai
S-322,4462,24597,72,Red,Germany
S-369,2915,25959,79,Green ,Delhi
S-301,2530,24729,97,Yellow,Indo
S-315,4639,25339,63,Red,Denmark
S-309,3046,25270,92,Green ,London
S-306,2138,25033,81,Yellow,Dubai
S-358,3992,25203,73,Red,Germany
S-314,3116,24681,76,Green ,Delhi
S-358,3130,25323,90,Yellow,Indo
S-383,4857,24855,82,Red,Denmark
S-373,4288,24665,73,Green ,London
S-316,2322,24818,66,Yellow,Dubai
S-316,4521,25243,92,Red,Germany
